pipeline,generator,generator_label,embedder,embedder_label,top_k,n,em,f1,recall_at_k,r_precision,grounded_em_hit,grounded_f1_hit,grounded_em_all,grounded_f1_all,total_time_s,fail_rate
P3,Maternion/lfm2:8b,LFM2:8B,qwen3-embedding:4b,QwenEmb-4B,5,500,0.018,0.2025894289643795,0.944,0.6486380952380952,0.018,0.2014251432500938,0.002,0.10700092266378551,11.156504388332367,0.0
P3,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.212,0.4164369108279268,0.922,0.5688761904761904,0.212,0.41529963810065407,0.124,0.23911571488583575,13.10562403869629,0.0
P3,gemma3:4b,Gemma3:4B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.212,0.3689683728354847,0.84,0.5244904761904762,0.212,0.36669362536073724,0.124,0.20740186262667465,10.74450876903534,0.0
P3,gpt-oss:20b,GPT-OSS:20B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.186,0.3641854598647573,0.94,0.6108571428571429,0.186,0.36382182350112097,0.096,0.20599394332239657,25.910046914100647,0.018
P3,granite4:7b-a1b-h,Granite4:7B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.07,0.2329994379714081,0.912,0.6211571428571429,0.07,0.23095158229417964,0.036,0.12226024644027954,9.350835294246673,0.0
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.06,0.11177867945008163,0.678,0.28706666666666664,0.06,0.10849352949441682,0.018,0.0474521685694292,10.31641921043396,0.0
P3,qwen3:0.6b,Qwen3:0.6B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.068,0.20608015022616183,0.924,0.6091095238095238,0.068,0.20549429164030325,0.044,0.13986357444350053,14.18930333662033,0.004
P3,qwen3:1.7b,Qwen3:1.7B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.11,0.3043091773783896,0.892,0.6148238095238094,0.11,0.3030604346317745,0.052,0.16437333591134073,14.601200782775878,0.01
P3,qwen3:14b,Qwen3:14B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.036,0.24042999653725752,0.938,0.6365238095238095,0.036,0.23964530754204222,0.026,0.14247247344808048,25.869385269641874,0.01
P3,qwen3:30b,Qwen3:30B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.43,0.5344042977354283,0.904,0.5575761904761906,0.43,0.5330406613717918,0.262,0.3167740942626528,26.174587493896485,0.006
P3,qwen3:4b,Qwen3:4B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.318,0.43321729316409835,0.916,0.5850238095238095,0.318,0.43252032346712865,0.16,0.21724610778989029,32.74002603626251,0.0
P3,qwen3:8b,Qwen3:8B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.074,0.2733055761876834,0.946,0.6317238095238096,0.074,0.272941939824047,0.042,0.1705197482405516,21.560120820999146,0.014
