generator,generator_label,n,em,f1,total_time_s,fail_rate
gpt-oss:20b,GPT-OSS:20B,500,0.088,0.22393460039765964,32.85367481708526,0.062
gemma3:12b,Gemma3:12B,500,0.19,0.34029173046176253,2.631174328804016,0.0
gemma3:4b,Gemma3:4B,500,0.13,0.2623742678962221,2.562682249069214,0.0
granite4:7b-a1b-h,Granite4:7B,500,0.008,0.14661499199153236,2.599890191078186,0.0
lfm2.5-thinking:1.2b,LFM2.5:1.2B,500,0.018,0.11533808252928829,4.7329877400398255,0.0
Maternion/lfm2:8b,LFM2:8B,500,0.006,0.12424291090977274,2.5415046286582945,0.0
qwen3:0.6b,Qwen3:0.6B,500,0.002,0.07508914037159344,3.78858021402359,0.0
qwen3:1.7b,Qwen3:1.7B,500,0.002,0.08314209327908183,4.534383259296417,0.0
qwen3:14b,Qwen3:14B,500,0.014,0.1329990539412416,10.60132327747345,0.008
qwen3:30b,Qwen3:30B,500,0.18,0.3393139239320717,9.908441205024719,0.004
qwen3:4b,Qwen3:4B,500,0.068,0.18595589703873822,8.822312193870545,0.0
qwen3:8b,Qwen3:8B,500,0.006,0.12697089701885295,16.551474746704102,0.028
