pipeline,generator,generator_label,embedder,embedder_label,top_k,n,em,f1,recall_at_k,r_precision,grounded_em_hit,grounded_f1_hit,grounded_em_all,grounded_f1_all,total_time_s,fail_rate
P2,gpt-oss:20b,GPT-OSS:20B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.22,0.39631295483232226,0.94,0.6685238095238095,0.22,0.39494931846868586,0.112,0.21348550696908294,5.350965357303619,0.004
P2,gpt-oss:20b,GPT-OSS:20B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.206,0.3864438553953013,0.974,0.6819047619047619,0.206,0.3864438553953013,0.132,0.259730286779202,8.286972979068755,0.006
P2,gpt-oss:20b,GPT-OSS:20B,qwen3-embedding:4b,QwenEmb-4B,5,500,0.208,0.38323581197426776,0.968,0.6845714285714286,0.208,0.38287217561063136,0.102,0.21121865326560177,6.37543785572052,0.0
P2,gpt-oss:20b,GPT-OSS:20B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.188,0.36809378007432647,0.966,0.6721904761904761,0.188,0.36773014371069007,0.104,0.21463391701319823,5.72508353471756,0.0
P2,gpt-oss:20b,GPT-OSS:20B,nomic-embed-text:v1.5,Nomic-v1.5,10,500,0.138,0.2627550744893643,0.648,0.30497619047619046,0.136,0.2585950328969698,0.052,0.09852153347384958,12.603907600879669,0.016
P2,gpt-oss:20b,GPT-OSS:20B,nomic-embed-text:v1.5,Nomic-v1.5,5,500,0.138,0.2581243694682609,0.596,0.30502380952380953,0.136,0.25185313053662023,0.046,0.08119441364236889,9.37920446062088,0.006
P2,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.276,0.46604813170707265,0.98,0.6852380952380952,0.276,0.46604813170707265,0.19,0.32327515697496156,5.132867449760437,0.0
P2,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,5,500,0.286,0.4639190573715139,0.968,0.6845714285714286,0.286,0.46355542100787755,0.176,0.27742385237699,5.046475285053253,0.0
P2,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.254,0.45783281321763747,0.944,0.6705238095238095,0.254,0.4566270715908432,0.144,0.2620029255492796,2.8826123790740965,0.0
P2,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.202,0.4244521622208687,0.966,0.6721904761904761,0.202,0.42408852585723233,0.124,0.2724226862403791,3.031771538257599,0.0
P2,gemma3:12b,Gemma3:12B,nomic-embed-text:v1.5,Nomic-v1.5,10,500,0.144,0.293303541269236,0.652,0.3061428571428571,0.142,0.2891283481616899,0.05,0.10286842611284346,5.124234118461609,0.0
P2,gemma3:12b,Gemma3:12B,nomic-embed-text:v1.5,Nomic-v1.5,5,500,0.148,0.2885568133385105,0.6,0.3058571428571428,0.144,0.28114727679662105,0.052,0.09108448386830179,4.972138832092285,0.0
P2,gemma3:4b,Gemma3:4B,qwen3-embedding:4b,QwenEmb-4B,5,500,0.244,0.42934589231671716,0.968,0.6845714285714286,0.244,0.4289822559530808,0.138,0.24988290680782482,4.867928515911102,0.0
P2,gemma3:4b,Gemma3:4B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.224,0.426900202162328,0.944,0.6705238095238095,0.224,0.4258092930714189,0.124,0.23926763781685126,2.6960070724487304,0.0
P2,gemma3:4b,Gemma3:4B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.21,0.4021266857084603,0.98,0.6852380952380952,0.21,0.4021266857084603,0.142,0.2789678087755665,4.9147859072685245,0.0
P2,gemma3:4b,Gemma3:4B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.2,0.3993387975024623,0.966,0.6721904761904761,0.2,0.398975161138826,0.12,0.24871932817894052,2.7624802532196044,0.0
P2,gemma3:4b,Gemma3:4B,nomic-embed-text:v1.5,Nomic-v1.5,5,500,0.136,0.256773387051461,0.6,0.3058571428571428,0.136,0.25401096221013153,0.046,0.08345959288904842,4.805183428287506,0.0
P2,gemma3:4b,Gemma3:4B,nomic-embed-text:v1.5,Nomic-v1.5,10,500,0.12,0.2501923643519564,0.652,0.3061428571428571,0.12,0.24790721223789963,0.038,0.08944361931176996,4.85111742401123,0.0
P2,granite4:7b-a1b-h,Granite4:7B,all-MiniLM-L6-v2,MiniLM-L6,5,500,0.078,0.2547241087251034,0.944,0.6705238095238095,0.078,0.25280722560822033,0.034,0.13567416047016564,2.7403533868789673,0.0
P2,granite4:7b-a1b-h,Granite4:7B,qwen3-embedding:4b,QwenEmb-4B,5,500,0.088,0.2535950154820572,0.968,0.6845714285714286,0.088,0.2529940397382243,0.044,0.14182794140997512,4.96312353515625,0.0
P2,granite4:7b-a1b-h,Granite4:7B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.064,0.23959680880657117,0.966,0.6721904761904761,0.064,0.2392331724429348,0.026,0.13986892430266334,2.8310216517448423,0.0
P2,granite4:7b-a1b-h,Granite4:7B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.07,0.23293585376782633,0.98,0.6852380952380952,0.07,0.2326125759690408,0.034,0.14774988301138908,5.0381601262092595,0.0
P2,granite4:7b-a1b-h,Granite4:7B,nomic-embed-text:v1.5,Nomic-v1.5,5,500,0.044,0.15570679154782105,0.6,0.3058571428571428,0.044,0.1520800198735108,0.014,0.04883612078078021,4.822119298458099,0.0
