Generator,P1 F1,P2 F1 k = 5,P2 F1 k = 10,P3 F1 k = 5,P3 F1 k = 10
Qwen3:0.6B,0.07508914037159344,0.2210562857589363,0.19829172511712054,0.19834800322716845,0.20608015022616183
LFM2.5:1.2B,0.11533808252928829,0.12954551913713722,0.1708646124685923,0.09467485330992813,0.11177867945008163
Qwen3:1.7B,0.08314209327908183,0.33983860459752346,0.349790680404038,0.3043091773783896,0.29550192823810395
Qwen3:4B,0.18595589703873822,0.5097619773253479,0.4795572047814739,0.43321729316409835,0.4324516105676041
Gemma3:4B,0.2623742678962221,0.42934589231671716,0.4021266857084603,0.3689683728354847,0.3596915599550512
Granite4:7B,0.14661499199153236,0.2547241087251034,0.23959680880657117,0.2329994379714081,0.21233622920207815
Qwen3:8B,0.12697089701885295,0.27881600132588097,0.2810149182313319,0.2666758687509708,0.2733055761876834
LFM2:8B,0.12424291090977274,0.20814082433738662,0.20033812969514792,0.2025894289643795,0.19358691122554297
Gemma3:12B,0.34029173046176253,0.4639190573715139,0.46604813170707265,0.4150285789486979,0.4164369108279268
Qwen3:14B,0.1329990539412416,0.25531184250816813,0.2587140636713903,0.24042999653725752,0.23991622584215083
GPT-OSS:20B,0.22393460039765964,0.39631295483232226,0.3864438553953013,0.36072936613933876,0.3641854598647573
Qwen3:30B,0.3393139239320717,0.5636221579481507,0.5844597972728781,0.5243997037156425,0.5344042977354283
