Generator,P2 gSAS-all k = 5,P2 gSAS-all k = 10,P3 gSAS-all k = 5,P3 gSAS-all k = 10
Qwen3:0.6B,0.21300571696843976,0.24180002441266324,0.17756454892586307,0.23393945694950066
LFM2.5:1.2B,0.36505030311457815,0.4350511317104101,0.31150702845677736,0.37181401398591696
Qwen3:1.7B,0.2793380517389132,0.3354075131844355,0.23796867747162043,0.26839736050928037
Qwen3:4B,0.3656060007698834,0.4323735716771409,0.274026312212643,0.338191648538342
Gemma3:4B,0.30576021609269083,0.35546443694643676,0.24945546635054053,0.27106714716367425
Granite4:7B,0.2718932058420032,0.32296049230359497,0.2302200211081654,0.26705700415186584
Qwen3:8B,0.2646281277194949,0.31434645258585914,0.23258156580944556,0.2866896466157469
LFM2:8B,0.2735592011604458,0.32619255493022503,0.25408020434714856,0.3052541932482272
Gemma3:12B,0.31812783309072257,0.3818552829027176,0.25021394795551893,0.28145031003840265
Qwen3:14B,0.24831285199686376,0.2968146907173112,0.23456195597772045,0.27343561086368934
GPT-OSS:20B,0.27775701299496,0.3359731676532949,0.24645216182777377,0.28577429214169986
Qwen3:30B,0.3792115779889067,0.46069152854255824,0.30470535537612464,0.3564191500972994
