generator,generator_label,sas
gpt-oss:20b,GPT-OSS:20B,0.42035961446346215
gemma3:12b,Gemma3:12B,0.4024766840673983
gemma3:4b,Gemma3:4B,0.3188156384937465
granite4:7b-a1b-h,Granite4:7B,0.3404812084082514
lfm2.5-thinking:1.2b,LFM2.5:1.2B,0.282089251358062
Maternion/lfm2:8b,LFM2:8B,0.3637901364825666
qwen3:0.6b,Qwen3:0.6B,0.19987362002333006
qwen3:1.7b,Qwen3:1.7B,0.3212611830295868
qwen3:14b,Qwen3:14B,0.3817162018629812
qwen3:30b,Qwen3:30B,0.48273392463379716
qwen3:4b,Qwen3:4B,0.36426577166654167
qwen3:8b,Qwen3:8B,0.3834091450677947
