Generator,P1 EM,P2 EM k = 5,P2 EM k = 10,P3 EM k = 5,P3 EM k = 10
Qwen3:0.6B,0.002,0.082,0.066,0.068,0.068
LFM2.5:1.2B,0.018,0.072,0.106,0.04,0.06
Qwen3:1.7B,0.002,0.154,0.166,0.12,0.15
Qwen3:4B,0.068,0.388,0.366,0.318,0.312
Gemma3:4B,0.13,0.244,0.21,0.212,0.186
Granite4:7B,0.008,0.088,0.07,0.07,0.064
Qwen3:8B,0.006,0.074,0.074,0.078,0.074
LFM2:8B,0.006,0.016,0.014,0.02,0.016
Gemma3:12B,0.19,0.286,0.276,0.234,0.212
Qwen3:14B,0.014,0.054,0.048,0.056,0.042
GPT-OSS:20B,0.088,0.22,0.206,0.188,0.186
Qwen3:30B,0.18,0.448,0.46,0.418,0.43
