Generator,P2 gF1-all k = 5,P2 gF1-all k = 10,P3 gF1-all k = 5,P3 gF1-all k = 10
Qwen3:0.6B,0.1334680852325784,0.14406483382001362,0.11307921255251097,0.13986357444350053
LFM2.5:1.2B,0.06762582174495355,0.10786940193704926,0.057917962663619774,0.0680514351000413
Qwen3:1.7B,0.19701465338070973,0.23566790922119957,0.16437333591134073,0.17050431076783484
Qwen3:4B,0.29905165823296126,0.3301111276221633,0.21724610778989029,0.24975459685912138
Gemma3:4B,0.24988290680782482,0.2789678087755665,0.20740186262667465,0.2159488536588534
Granite4:7B,0.14182794140997512,0.14774988301138908,0.12226024644027954,0.12505711942686157
Qwen3:8B,0.16588590191202943,0.18453210351517318,0.1426848893733481,0.1705197482405516
LFM2:8B,0.12117695815082036,0.13132692680926192,0.10700092266378551,0.12128473421672008
Gemma3:12B,0.27742385237699,0.32327515697496156,0.21873366265231373,0.23911571488583575
Qwen3:14B,0.150354066140802,0.17318782775367456,0.14247247344808048,0.15706808865212898
GPT-OSS:20B,0.21348550696908294,0.259730286779202,0.1850590515489448,0.20599394332239657
Qwen3:30B,0.345568293020917,0.40800586935927,0.276041281422822,0.3167740942626528
