Generator,P1 SAS,P2 SAS k = 5,P2 SAS k = 10,P3 SAS k = 5,P3 SAS k = 10
Qwen3:0.6B,0.19987362002333006,0.3536909353921194,0.334159328975162,0.32247506111638896,0.35015210651637996
LFM2.5:1.2B,0.282089251358062,0.6344975545406342,0.6606531109400093,0.6229335919804871,0.6312411507237703
Qwen3:1.7B,0.3212611830295868,0.48158866087214114,0.4925627332689413,0.45138703767232913,0.45092521013378434
Qwen3:4B,0.36426577166654167,0.6073402654640376,0.6152688750368823,0.5424132382564516,0.5788725131323826
Gemma3:4B,0.3188156384937465,0.5158118809312582,0.5058122207559645,0.4477947376891971,0.4583352766595781
Granite4:7B,0.3404812084082514,0.48496792577393355,0.49987210500612855,0.4481396491285414,0.46503445334360005
Qwen3:8B,0.3834091450677947,0.4444271312067117,0.46276020939461887,0.42993684348584427,0.4512775147533985
LFM2:8B,0.3637901364825666,0.48938271427340807,0.5059916322436183,0.47373478681966663,0.48867507273703814
Gemma3:12B,0.4024766840673983,0.5245251580178738,0.5405003242902457,0.4672707122657448,0.47558751633018254
Qwen3:14B,0.3817162018629812,0.41665879160516667,0.43034568451016486,0.40762402729667496,0.4186348318247878
GPT-OSS:20B,0.42035961446346215,0.48915394046811395,0.48541588125979035,0.46217374835125724,0.4812361885435014
Qwen3:30B,0.48273392463379716,0.6146089171740156,0.6476215146098947,0.5746151961102515,0.5914093444716013
