pipeline,generator,generator_label,embedder,embedder_label,top_k,n,em,f1,recall_at_k,r_precision,grounded_em_hit,grounded_f1_hit,grounded_em_all,grounded_f1_all,total_time_s,fail_rate
P2,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.248,0.45759462808445683,0.956,0.6830333333333333,0.248,0.45759462808445683,0.148,0.3018049977626829,3.0462048554420473,0.0
P2,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.24,0.45322614766535735,0.956,0.6834142857142858,0.24,0.4523489546829012,0.156,0.3065532662341599,5.15969916009903,0.0
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.054,0.12297738589612112,0.956,0.6830333333333333,0.054,0.12294432804488145,0.042,0.08592219248033195,5.0894592938423155,0.0
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.062,0.11762281618426994,0.956,0.6834142857142858,0.062,0.11749182411195756,0.054,0.09719192521399996,7.469151459693909,0.0
P2,qwen3:14b,Qwen3:14B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.054,0.2677227455039751,0.956,0.6834142857142858,0.054,0.26730169287239625,0.03,0.18225562534621664,9.522650919437408,0.0
P2,qwen3:14b,Qwen3:14B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.044,0.2629386057201501,0.952,0.6817000000000001,0.044,0.2629386057201501,0.022,0.1701278599943047,9.261648670196534,0.004
P2,qwen3:4b,Qwen3:4B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.392,0.5359762188181918,0.954,0.6834142857142858,0.392,0.5359762188181918,0.268,0.37364873574342844,18.617787905693053,0.002
P2,qwen3:4b,Qwen3:4B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.384,0.5244230416584914,0.954,0.6810333333333333,0.384,0.5244230416584914,0.254,0.3522630582857523,16.443185755729676,0.002
P3,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.218,0.4179629715494383,0.914,0.5864333333333333,0.216,0.4142631357530508,0.13,0.2558772068805355,13.376580267429352,0.0
P3,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.184,0.323709816087009,0.798,0.3823404761904762,0.184,0.3220016707236005,0.06,0.13145922116615144,14.765945483207704,0.0
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.046,0.0930952739492852,0.91,0.5974809523809524,0.046,0.09282210932908701,0.032,0.06462435738454268,12.362901387214661,0.0
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.038,0.07760186176146307,0.636,0.2689142857142857,0.038,0.07701937301082779,0.018,0.03595161855646314,10.540970698833465,0.0
P3,qwen3:14b,Qwen3:14B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.042,0.2565492012599453,0.948,0.6413666666666666,0.042,0.2565492012599453,0.022,0.16576729640092794,25.400141800403595,0.008
P3,qwen3:14b,Qwen3:14B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.054,0.24065226921208968,0.86,0.5059285714285714,0.054,0.2382103367722849,0.026,0.13487496219673678,29.893918093204498,0.01
P3,qwen3:4b,Qwen3:4B,all-MiniLM-L6-v2,MiniLM-L6,10,500,0.358,0.4839563585604364,0.934,0.6005333333333333,0.358,0.4839563585604364,0.22,0.2991905030223467,35.414776178836824,0.002
P3,qwen3:4b,Qwen3:4B,qwen3-embedding:4b,QwenEmb-4B,10,500,0.268,0.3666745801258342,0.806,0.4056619047619047,0.266,0.3640912467925008,0.134,0.18543968690184578,34.98215933704376,0.0
