pipeline,generator,generator_label,embedder,embedder_label,top_k,sas,grounded_sas_hit,grounded_sas_all
P2,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,10,0.5259193611647933,0.5253669760469347,0.3502032435834408
P2,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,10,0.5224018137361854,0.5210009426660835,0.3585431028790772
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,qwen3-embedding:4b,QwenEmb-4B,10,0.6249213159624487,0.6147370760403573,0.4233982751108706
P2,lfm2.5-thinking:1.2b,LFM2.5:1.2B,all-MiniLM-L6-v2,MiniLM-L6,10,0.5913419800568372,0.5779766859337687,0.37678160407021644
P2,qwen3:14b,Qwen3:14B,qwen3-embedding:4b,QwenEmb-4B,10,0.44790205637551844,0.4454883031137288,0.3095918326321989
P2,qwen3:14b,Qwen3:14B,all-MiniLM-L6-v2,MiniLM-L6,10,0.44621760278835476,0.4456327605850426,0.2889262204447455
P2,qwen3:4b,Qwen3:4B,qwen3-embedding:4b,QwenEmb-4B,10,0.6205507195302713,0.6198277789054211,0.43196949347263885
P2,qwen3:4b,Qwen3:4B,all-MiniLM-L6-v2,MiniLM-L6,10,0.6120469651790896,0.6114626300416468,0.4128357135993709
P3,gemma3:12b,Gemma3:12B,all-MiniLM-L6-v2,MiniLM-L6,10,0.4839951148852706,0.47846076981164515,0.2940862665884197
P3,gemma3:12b,Gemma3:12B,qwen3-embedding:4b,QwenEmb-4B,10,0.36828478130698206,0.3641199527066201,0.15290453009866178
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,qwen3-embedding:4b,QwenEmb-4B,10,0.6381698218043893,0.613684478001669,0.3785645865499973
P3,lfm2.5-thinking:1.2b,LFM2.5:1.2B,all-MiniLM-L6-v2,MiniLM-L6,10,0.41754292606562377,0.3720030059032142,0.15968379583396017
P3,qwen3:14b,Qwen3:14B,all-MiniLM-L6-v2,MiniLM-L6,10,0.4466873566871659,0.4460650558673566,0.28972758180386715
P3,qwen3:14b,Qwen3:14B,qwen3-embedding:4b,QwenEmb-4B,10,0.394594259031418,0.3902380103696928,0.21829304852231282
P3,qwen3:4b,Qwen3:4B,all-MiniLM-L6-v2,MiniLM-L6,10,0.5702515269997334,0.5692555258640336,0.35224360428780377
P3,qwen3:4b,Qwen3:4B,qwen3-embedding:4b,QwenEmb-4B,10,0.4251230581216514,0.419853349333629,0.2112536098919809
